Genus,Species,Sub.species,Latitude,Longitude,Country,Subfamily,Tribe,Collection_date,Source
Athesis,Athesis acrisione,NA,-1.958935,-77.58976,Ecuador,Danainae,Ithomiini,2022-01-19,Joana
Ceratinia,Ceratinia tutia,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
Ceratinia,Ceratinia tutia,callichroma,-2.19763,-78.15778,Ecuador,Danainae,Ithomiini,2022-01-18,Joana
Athesis,Athesis clearista,NA,-1.02569444,-77.60475,Ecuador,Danainae,Ithomiini,2022-01-21,Joana
Chetone,Chetone sp.,NA,-1.09759,-77.58389,Ecuador,Arctiinae,Pericopini,2022-01-20,Joana
Dircenna,Dircenna sp.,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
Episcada,Episcada sp.,NA,-2.19763,-78.15778,Ecuador,Danainae,Ithomiini,2022-01-18,Joana
Eresia,Eresia eunice,NA,-1.09759,-77.58389,Ecuador,Nymphalinae,Melitaeini,2022-01-20,Joana
Forbestra,Forbestra equicola,equicoloides,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
Forbestra,Forbestra equicola,equicoloides,-1.02569444,-77.60475,Ecuador,Danainae,Ithomiini,2022-01-21,Joana
Forbestra,Forbestra olivencia,NA,-1.02569444,-77.60475,Ecuador,Danainae,Ithomiini,2022-01-21,Joana
Forbestra,Forbestra proceris,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
Godyris,Godyris zavaleta,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
NA,Haeterini,NA,-1.09759,-77.58389,Ecuador,Satyrinae,Haeterini,2022-01-20,Joana
NA,Haeterini,NA,-1.02569444,-77.60475,Ecuador,Satyrinae,Haeterini,2022-01-21,Joana
Hyalyris,Hyalyris coeno,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
Hyposcada,Hyposcada anchiala,NA,-1.958935,-77.58976,Ecuador,Danainae,Ithomiini,2022-01-19,Joana
Hyposcada,Hyposcada anchiala,NA,-0.948557,-77.86605,Ecuador,Danainae,Ithomiini,2022-01-19,Joana
Hypothyris,Hypothyris sp.,NA,-1.02569444,-77.60475,Ecuador,Danainae,Ithomiini,2022-01-21,Joana
Hypothyris,Hypothyris euclea,NA,-2.19763,-78.15778,Ecuador,Danainae,Ithomiini,2022-01-18,Joana
Hypothyris,Hypothyris euclea,NA,-1.02569444,-77.60475,Ecuador,Danainae,Ithomiini,2022-01-21,Joana
Hypothyris,Hypothyris euclea,pyrippe,-2.19763,-78.15778,Ecuador,Danainae,Ithomiini,2022-01-18,Joana
Hypothyris,Hypothyris semifulva,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
Hypothyris,Hypothyris semifulva,semifulva,-2.19763,-78.15778,Ecuador,Danainae,Ithomiini,2022-01-18,Joana
Hypothyris,Hypothyris sp.,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
MISSING,Ithomia maria,NA,-1.958935,-77.58976,Ecuador,MISSING,MISSING,2022-01-19,Joana
Ithomia,Ithomia salapia,NA,-1.958935,-77.58976,Ecuador,Danainae,Ithomiini,2022-01-19,Joana
Mechanitis,Mechanitis lysimnia,NA,-1.02569444,-77.60475,Ecuador,Danainae,Ithomiini,2022-01-21,Joana
Mechanitis,Mechanitis lysimnia,elisa,-1.11556667,-77.77833333,Ecuador,Danainae,Ithomiini,2022-01-14,Joana
Mechanitis,Mechanitis lysimnia,ocona,-1.11556667,-77.77833333,Ecuador,Danainae,Ithomiini,2022-01-14,Joana
Mechanitis,Mechanitis mazaeus,NA,-1.02569444,-77.60475,Ecuador,Danainae,Ithomiini,2022-01-21,Joana
Mechanitis,Mechanitis polymnia,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
Mechanitis,Mechanitis polymnia,NA,-1.02569444,-77.60475,Ecuador,Danainae,Ithomiini,2022-01-21,Joana
Hypothyris,Hypothyris mamercus,mamercus,-1.02569444,-77.60475,Ecuador,Danainae,Ithomiini,2022-01-21,Joana
Methona,Methona grandior,batesi,-1.02569444,-77.60475,Ecuador,Danainae,Ithomiini,2022-01-21,Joana
Methona,Methona sp.,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
Napeogenes,Napeogenes glycera,glycera,-2.19763,-78.15778,Ecuador,Danainae,Ithomiini,2022-01-18,Joana
Oleria,Oleria onega,NA,-0.948557,-77.86605,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
Pseudoscada,Pseudoscada florula,aureola,-1.958935,-77.58976,Ecuador,Danainae,Ithomiini,2022-01-19,Joana
Scada,Scada reckia,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
Scada,Scada zibia,NA,-1.09759,-77.58389,Ecuador,Danainae,Ithomiini,2022-01-20,Joana
NA,NA,NA,-1.02569444,-77.60475,Ecuador,NA,NA,2022-01-21,Joana
